time,open,high,low,close,Volume
1784800140,8354.2,8359.2,8354,8356.2,84
1784800200,8355.9,8355.9,8352.5,8352.5,94
1784800260,8353,8353.5,8348,8348.3,66
1784800320,8348.8,8349.8,8347.8,8349.5,78
1784800380,8349.3,8351.2,8348.5,8349,92
1784800440,8348.7,8349.5,8347.3,8348,72
1784800500,8348.5,8349.3,8347.3,8348.5,64
1784800560,8348,8348,8346.3,8346.5,70
1784800620,8346,8346.5,8343.8,8346.5,48
1784800680,8346.8,8346.8,8343.1,8343.8,72
1784800740,8343.6,8346,8342.6,8346,94
1784800800,8346.5,8349.5,8344.5,8345.5,110
1784800860,8346,8347.3,8344.6,8344.6,90
1784800920,8345.1,8348.6,8345.1,8348.5,64
1784800980,8348,8350,8347.5,8349,82
1784801040,8349.5,8351,8348.5,8348.8,66
1784801100,8349,8349.5,8347.8,8348,66
1784801160,8347.8,8348.3,8342.1,8342.1,88
1784801220,8341.9,8343.3,8341.9,8343.3,68
1784801280,8343.8,8345.1,8340.6,8340.9,84
1784801340,8340.6,8341.4,8338.9,8340.1,74
1784801400,8339.9,8340.6,8339.1,8339.9,66
1784801460,8339.4,8339.9,8336.2,8337.4,66
1784801520,8337.2,8338.4,8336.7,8338.2,64
1784801580,8338.4,8338.9,8336.9,8338.2,40
1784801640,8338.4,8339.1,8335.9,8337.4,76
1784801700,8336.9,8339.4,8336.9,8339.1,76
1784801760,8339.4,8340.6,8335.6,8340.1,84
1784801820,8340.4,8340.9,8338.1,8339.1,76
1784801880,8338.9,8341.1,8338.6,8339.6,56
1784801940,8339.4,8341.4,8339.1,8339.6,56
1784802000,8339.4,8341.1,8338.6,8338.6,92
1784802060,8338.4,8340.9,8337.4,8340.1,62
1784802120,8340.4,8342.1,8340.4,8341.9,76
1784802180,8341.6,8343.1,8339.4,8341.2,74
1784802240,8340.9,8341.2,8339.7,8341.2,76
1784802300,8341.7,8344.6,8340.9,8344.4,90
1784802360,8344.1,8344.1,8341.1,8342.4,86
1784802420,8342.6,8342.6,8339.4,8340.2,66
1784802480,8339.2,8340.4,8338.4,8338.4,58
1784802540,8338.2,8342.4,8338.2,8339.9,68
1784802600,8339.7,8345.1,8339.2,8344.9,110
1784802660,8345.4,8346.1,8342.2,8344.1,94
1784802720,8343.9,8346.9,8343.6,8344.1,92
1784802780,8344.6,8345.1,8342.1,8342.9,68
1784802840,8342.6,8345.4,8341.9,8345.4,76
1784802900,8345.2,8348.1,8345.1,8347.4,84
1784802960,8347.6,8349.1,8347.4,8348.1,62
1784803020,8347.6,8349.1,8346.9,8347.1,46
1784803080,8346.1,8346.9,8344.2,8345.7,76
1784803140,8345.2,8346.2,8343.7,8345.7,46
1784803200,8345.5,8346.2,8343.7,8346.2,58
1784803260,8346.5,8349.2,8346.2,8348,84
1784803320,8348.5,8350,8347.2,8349.7,82
1784803380,8350.2,8350.5,8345.7,8346.3,82
1784803440,8346,8347.3,8345.8,8347,58
1784803500,8346.5,8350.2,8346.5,8348.7,72
1784803560,8349,8350.2,8348.7,8349.7,60
1784803620,8349.5,8350.5,8348.2,8348.2,60
1784803680,8348.7,8351.5,8348.7,8351.2,66
1784803740,8351,8356.9,8351,8356.7,64
1784803800,8357.2,8357.7,8356.2,8357.7,72
1784803860,8356.7,8357.2,8354.4,8356.2,94
1784803920,8355.9,8359.9,8355.9,8359.9,82
1784803980,8359.6,8359.9,8357.6,8359.6,78
